id_municipio;nombre_municipio;edad_media_ambos;edad_media_hombres;edad_media_mujeres
01059;Vitoria-Gasteiz;44.12;42.75;45.42
02003;Albacete;41.75;40.27;43.16
03009;Alcoi/Alcoy;44.4;42.74;45.99
03014;Alacant/Alicante;43.06;41.47;44.55
03031;Benidorm;44.25;43.25;45.25
03065;Elx/Elche;41.71;40.68;42.72
03066;Elda;44.25;42.53;45.88
03099;Orihuela;44.87;44.21;45.52
03122;Sant Vicent del Raspeig/San Vicente del Raspeig;40.2;39.28;41.09
03133;Torrevieja;44.71;43.7;45.7
04013;Almería;40.97;39.48;42.39
04079;Roquetas de Mar;36.86;36.4;37.35
04902;Ejido, El;36.65;36.3;37.02
05019;Ávila;43.79;42.08;45.34
06015;Badajoz;41.54;40.04;42.96
06083;Mérida;41.24;39.93;42.49
07011;Calvià;41.01;40.56;41.47
07040;Palma;41.31;40.02;42.54
08015;Badalona;42.56;41.13;43.96
08019;Barcelona;44.46;42.49;46.24
08056;Castelldefels;40.9;39.84;41.93
08073;Cornellà de Llobregat;43.27;41.88;44.57
08096;Granollers;42.37;40.85;43.84
08101;Hospitalet de Llobregat, L';43.14;41.56;44.61
08113;Manresa;43.07;41.41;44.67
08121;Mataró;41.87;40.49;43.24
08124;Mollet del Vallès;41.91;40.88;42.91
08169;Prat de Llobregat, El;42.7;41.35;43.98
08184;Rubí;40.81;39.76;41.83
08187;Sabadell;42.38;40.85;43.83
08200;Sant Boi de Llobregat;42.75;41.27;44.17
08205;Sant Cugat del Vallès;39.23;38.03;40.36
08245;Santa Coloma de Gramenet;42.6;41.18;43.99
08266;Cerdanyola del Vallès;43.19;41.96;44.37
08279;Terrassa;41.24;39.86;42.57
08301;Viladecans;41.19;40.13;42.22
08307;Vilanova i la Geltrú;43.41;42.09;44.64
09059;Burgos;45.1;43.26;46.77
10037;Cáceres;42.75;41.04;44.32
11004;Algeciras;40.46;39.32;41.56
11012;Cádiz;46.25;44.12;48.16
11015;Chiclana de la Frontera;39.64;39.2;40.09
11020;Jerez de la Frontera;41.41;40.08;42.67
11022;Línea de la Concepción, La;41.13;39.88;42.33
11027;Puerto de Santa María, El;40.99;40.03;41.91
11031;San Fernando;41.81;40.51;43.05
11032;Sanlúcar de Barrameda;40.72;39.8;41.63
12040;Castelló de la Plana/Castellón de la Plana;42.82;41.4;44.15
12135;Vila-real;41.4;40.14;42.65
13034;Ciudad Real;42.53;40.7;44.18
14021;Córdoba;43.0;41.26;44.61
15030;Coruña, A;46.68;44.58;48.49
15036;Ferrol;48.99;46.48;51.21
15078;Santiago de Compostela;45.37;43.48;47.01
16078;Cuenca;43.2;41.6;44.66
17079;Girona;40.43;38.9;41.84
18087;Granada;44.49;42.27;46.41
18140;Motril;40.56;39.37;41.71
19130;Guadalajara;42.14;40.73;43.45
20045;Irun;44.8;43.22;46.31
20069;Donostia/San Sebastián;46.36;44.26;48.23
21041;Huelva;42.54;40.92;44.04
22125;Huesca;43.57;41.94;45.05
23050;Jaén;42.55;40.81;44.17
23055;Linares;43.27;41.65;44.81
24089;León;48.19;45.83;50.14
24115;Ponferrada;46.93;45.4;48.31
25120;Lleida;42.39;40.96;43.79
26089;Logroño;44.09;42.38;45.64
27028;Lugo;45.48;43.68;47.04
