id_municipio;nombre_municipio;edad_media_ambos;edad_media_hombres;edad_media_mujeres
28005;Alcalá de Henares;42.52;41.34;43.64
28006;Alcobendas;40.73;39.52;41.83
28007;Alcorcón;43.88;42.52;45.16
28013;Aranjuez;41.03;39.71;42.28
28014;Arganda del Rey;38.85;37.9;39.82
28022;Boadilla del Monte;37.49;36.72;38.22
28045;Colmenar Viejo;39.67;38.86;40.46
28047;Collado Villalba;40.58;39.45;41.65
28049;Coslada;43.58;42.56;44.55
28058;Fuenlabrada;40.38;39.56;41.19
28065;Getafe;42.2;41.02;43.34
28074;Leganés;43.74;42.48;44.92
28079;Madrid;44.07;42.08;45.81
28080;Majadahonda;40.45;38.92;41.83
28092;Móstoles;42.96;41.73;44.12
28106;Parla;37.43;36.66;38.19
28113;Pinto;38.84;38.05;39.62
28115;Pozuelo de Alarcón;41.21;39.99;42.34
28123;Rivas-Vaciamadrid;36.77;36.17;37.37
28127;Rozas de Madrid, Las;39.17;38.02;40.24
28134;San Sebastián de los Reyes;39.85;38.85;40.81
28148;Torrejón de Ardoz;39.95;39.02;40.86
28161;Valdemoro;37.2;36.44;37.93
29025;Benalmádena;41.15;40.65;41.64
29051;Estepona;40.96;40.42;41.49
29054;Fuengirola;44.85;43.99;45.67
29067;Málaga;42.14;40.51;43.66
29069;Marbella;40.67;39.81;41.46
29070;Mijas;39.86;39.62;40.1
29094;Vélez-Málaga;41.19;40.35;42.02
29901;Torremolinos;42.56;41.88;43.25
30016;Cartagena;41.17;39.98;42.36
30024;Lorca;39.88;38.88;40.94
30027;Molina de Segura;38.9;38.21;39.58
30030;Murcia;40.64;39.32;41.89
31201;Pamplona/Iruña;44.59;42.8;46.19
32054;Ourense;47.29;45.18;49.03
33004;Avilés;48.09;46.16;49.83
33024;Gijón;48.1;46.11;49.88
33044;Oviedo;46.53;44.44;48.33
33066;Siero;46.01;44.52;47.44
34120;Palencia;46.46;44.67;48.06
35004;Arrecife;38.59;37.97;39.21
35016;Palmas de Gran Canaria, Las;43.76;42.5;44.93
35019;San Bartolomé de Tirajana;42.42;42.54;42.28
35022;Santa Lucía de Tirajana;38.84;38.37;39.32
35026;Telde;41.35;40.57;42.1
36038;Pontevedra;44.46;42.64;46.1
36057;Vigo;45.52;43.6;47.25
37274;Salamanca;48.02;45.67;49.97
38006;Arona;39.71;39.38;40.05
38017;Granadilla de Abona;38.6;38.04;39.17
38023;San Cristóbal de La Laguna;42.57;41.46;43.61
38038;Santa Cruz de Tenerife;44.01;42.3;45.57
39075;Santander;47.09;44.82;49.04
39087;Torrelavega;47.17;45.07;49.04
40194;Segovia;45.8;43.77;47.58
41004;Alcalá de Guadaíra;39.64;38.62;40.64
41038;Dos Hermanas;39.17;38.21;40.09
41091;Sevilla;43.2;41.29;44.92
41095;Utrera;40.76;39.66;41.85
42173;Soria;44.23;42.21;46.04
43123;Reus;41.72;40.4;42.94
43148;Tarragona;42.2;40.75;43.58
44216;Teruel;43.56;41.92;45.05
45165;Talavera de la Reina;42.67;41.12;44.11
45168;Toledo;41.53;39.97;42.96
46131;Gandia;42.52;41.05;43.95
46190;Paterna;39.47;38.51;40.41
46220;Sagunt/Sagunto;44.19;42.67;45.66
46244;Torrent;40.78;39.61;41.91
46250;València;44.3;42.45;45.97
47186;Valladolid;47.47;45.64;49.09
48013;Barakaldo;46.02;44.32;47.6
48020;Bilbao;46.92;44.71;48.89
48044;Getxo;46.4;44.62;47.97
49275;Zamora;47.48;45.57;49.14
50297;Zaragoza;44.5;42.75;46.1
51001;Ceuta;37.36;36.79;37.94
52001;Melilla;35.61;35.04;36.19
