cod_provincia;nombre_provincia;edad_media_ambos;edad_media_hombres;edad_media_mujeres
00;Total Nacional;43.37;42.06;44.63
01;Araba/Álava;44.32;43.11;45.49
02;Albacete;43.41;42.25;44.56
03;Alicante/Alacant;43.47;42.43;44.5
04;Almería;40.09;39.2;41.02
05;Ávila;47.63;46.54;48.74
06;Badajoz;43.4;42.24;44.53
07;Balears, Illes;41.35;40.43;42.27
08;Barcelona;42.86;41.38;44.27
09;Burgos;46.52;45.31;47.72
10;Cáceres;46.1;44.81;47.38
11;Cádiz;41.58;40.51;42.62
12;Castellón/Castelló;43.26;42.19;44.31
13;Ciudad Real;43.86;42.52;45.17
14;Córdoba;43.27;41.79;44.7
15;Coruña, A;46.92;45.25;48.46
16;Cuenca;45.93;44.91;46.95
17;Girona;42.14;41.1;43.19
18;Granada;42.38;41.14;43.59
19;Guadalajara;41.55;40.88;42.23
20;Gipuzkoa;44.99;43.47;46.44
21;Huelva;41.67;40.56;42.76
22;Huesca;45.44;44.34;46.55
23;Jaén;43.36;42.01;44.7
24;León;48.97;47.37;50.49
25;Lleida;43.35;42.24;44.5
26;Rioja, La;44.44;43.26;45.59
27;Lugo;49.89;48.45;51.25
28;Madrid;42.37;40.85;43.76
29;Málaga;41.98;40.99;42.94
30;Murcia;40.51;39.47;41.56
31;Navarra;43.21;42.06;44.33
32;Ourense;50.68;48.97;52.26
33;Asturias;48.33;46.52;49.98
34;Palencia;48.02;46.63;49.4
35;Palmas, Las;41.89;41.21;42.57
36;Pontevedra;45.6;43.93;47.16
37;Salamanca;48.08;46.64;49.45
38;Santa Cruz de Tenerife;42.87;41.91;43.8
39;Cantabria;45.55;44.03;46.97
40;Segovia;45.85;44.67;47.04
41;Sevilla;41.27;39.97;42.52
42;Soria;47.49;46.46;48.56
43;Tarragona;42.73;41.7;43.75
44;Teruel;46.41;45.48;47.37
45;Toledo;42.13;41.17;43.11
46;Valencia/València;43.21;41.85;44.51
47;Valladolid;45.89;44.54;47.17
48;Bizkaia;45.96;44.26;47.55
49;Zamora;50.8;49.36;52.21
50;Zaragoza;44.45;42.97;45.87
51;Ceuta;37.3;36.77;37.85
52;Melilla;35.48;34.88;36.11
