id_municipio;nombre_municipio;poblacion_total;total_hombres;total_mujeres
02001;Abengibre;790;379;411
02002;Alatoz;519;291;228
02003;Albacete;173329;84687;88642
02004;Albatana;692;356;336
02005;Alborea;658;337;321
02006;Alcadozo;654;363;291
02007;Alcalá del Júcar;1170;618;552
02008;Alcaraz;1351;703;648
02009;Almansa;24419;12167;12252
02010;Alpera;2265;1174;1091
02011;Ayna;616;327;289
02012;Balazote;2334;1189;1145
02014;Ballestero, El;405;207;198
02013;Balsa de Ves;158;91;67
02015;Barrax;1833;939;894
02016;Bienservida;603;326;277
02017;Bogarra;842;443;399
02018;Bonete;1049;540;509
02019;Bonillo, El;2779;1415;1364
02020;Carcelén;501;271;230
02021;Casas de Juan Núñez;1307;686;621
02022;Casas de Lázaro;363;205;158
02023;Casas de Ves;572;301;271
02024;Casas-Ibáñez;4538;2294;2244
02025;Caudete;9963;5073;4890
02026;Cenizate;1181;597;584
02029;Chinchilla de Monte-Aragón;4206;2196;2010
02027;Corral-Rubio;324;174;150
02028;Cotillas;123;64;59
02030;Elche de la Sierra;3585;1787;1798
02031;Férez;643;317;326
02032;Fuensanta;297;168;129
02033;Fuente-Álamo;2489;1307;1182
02034;Fuentealbilla;1792;914;878
02035;Gineta, La;2512;1304;1208
02036;Golosalvo;104;55;49
02037;Hellín;30306;15162;15144
02038;Herrera, La;326;167;159
02039;Higueruela;1158;602;556
02040;Hoya-Gonzalo;647;345;302
02041;Jorquera;355;193;162
02042;Letur;919;449;470
02043;Lezuza;1358;705;653
02044;Liétor;1175;610;565
02045;Madrigueras;4652;2380;2272
02046;Mahora;1383;706;677
02047;Masegoso;110;59;51
02048;Minaya;1501;774;727
02049;Molinicos;852;441;411
02050;Montalvos;97;52;45
02051;Montealegre del Castillo;2051;1043;1008
02052;Motilleja;571;307;264
02053;Munera;3435;1763;1672
02054;Navas de Jorquera;517;266;251
02055;Nerpio;1191;660;531
02056;Ontur;1987;1009;978
02057;Ossa de Montiel;2307;1154;1153
02058;Paterna del Madera;348;190;158
02060;Peñas de San Pedro;1399;817;582
02059;Peñascosa;334;184;150
02061;Pétrola;692;350;342
02062;Povedilla;430;241;189
02901;Pozo Cañada;2797;1418;1379
02063;Pozohondo;1585;826;759
02064;Pozo-Lorente;409;208;201
02065;Pozuelo;481;255;226
02066;Recueja, La;242;133;109
02067;Riópar;1332;687;645
02068;Robledo;367;200;167
02069;Roda, La;15476;7818;7658
02070;Salobre;480;258;222
02071;San Pedro;1242;627;615
02072;Socovos;1787;920;867
02073;Tarazona de la Mancha;6235;3197;3038
02074;Tobarra;7684;3931;3753
02075;Valdeganga;2028;1038;990
02076;Vianos;346;174;172
02077;Villa de Ves;56;32;24
02078;Villalgordo del Júcar;1094;576;518
02079;Villamalea;4027;2034;1993
02080;Villapalacios;583;304;279
02081;Villarrobledo;25184;12456;12728
02082;Villatoya;109;65;44
02083;Villavaliente;224;136;88
02084;Villaverde de Guadalimar;338;173;165
02085;Viveros;337;176;161
02086;Yeste;2657;1375;1282
03002;Agost;4758;2357;2401
03003;Agres;565;306;259
03004;Aigües;963;505;458
03005;Albatera;12279;6260;6019
03006;Alcalalí;1278;640;638
03007;Alcocer de Planes;230;117;113
