id_municipio;nombre_municipio;poblacion_total;total_hombres;total_mujeres
03100;Parcent;1003;489;514
03101;Pedreguer;8558;4267;4291
03102;Pego;10485;5202;5283
03103;Penàguila;313;156;157
03104;Petrer;33914;16751;17163
03902;Pilar de la Horadada;23428;11986;11442
03105;Pinós, el/Pinoso;8281;4214;4067
03106;Planes;699;378;321
03042;Poble Nou de Benitatxell, el/Benitachell;4858;2373;2485
03901;Poblets, els;2763;1302;1461
03107;Polop;5339;2679;2660
03060;Quatretondeta;136;77;59
03109;Rafal;4800;2392;2408
03110;Ràfol d'Almúnia, el;721;367;354
03111;Redován;8183;4244;3939
03112;Relleu;1248;640;608
03113;Rojales;17451;8794;8657
03114;Romana, la;2632;1383;1249
03115;Sagra;442;215;227
03116;Salinas;1733;885;848
03118;San Fulgencio;9443;4758;4685
03904;San Isidro;2208;1142;1066
03120;San Miguel de Salinas;6798;3419;3379
03117;Sanet y Negrals;737;372;365
03119;Sant Joan d'Alacant;25275;12210;13065
03122;Sant Vicent del Raspeig/San Vicente del Raspeig;59928;29575;30353
03121;Santa Pola;37816;18924;18892
03123;Sax;10072;5030;5042
03124;Sella;607;321;286
03125;Senija;670;344;326
03127;Tàrbena;630;334;296
03128;Teulada;12515;6249;6266
03129;Tibi;1808;948;860
03130;Tollos;40;27;13
03131;Tormos;339;164;175
03132;Torre de les Maçanes, la/Torremanzanas;714;376;338
03133;Torrevieja;89290;43252;46038
03134;Vall d'Alcalà, la;174;91;83
03136;Vall de Gallinera, la;581;301;280
03137;Vall de Laguar, la;873;436;437
03135;Vall d'Ebo, la;230;120;110
03138;Verger, el;5101;2508;2593
03139;Vila Joiosa, la/Villajoyosa;36093;17835;18258
03140;Villena;34144;17102;17042
03082;Xàbia/Jávea;29760;14857;14903
03081;Xaló;2964;1474;1490
03083;Xixona/Jijona;7032;3433;3599
04001;Abla;1255;650;605
04002;Abrucena;1275;675;600
04003;Adra;25195;12858;12337
04004;Albanchez;682;366;316
04005;Alboloduy;596;293;303
04006;Albox;12311;6276;6035
04007;Alcolea;803;418;385
04008;Alcóntar;560;307;253
04009;Alcudia de Monteagud;132;68;64
04010;Alhabia;708;374;334
04011;Alhama de Almería;3817;1932;1885
04012;Alicún;221;108;113
04013;Almería;200578;97592;102986
04014;Almócita;207;105;102
04015;Alsodux;146;82;64
04016;Antas;3417;1780;1637
04017;Arboleas;4439;2201;2238
04018;Armuña de Almanzora;335;167;168
04019;Bacares;237;124;113
04904;Balanegra;2931;1528;1403
04020;Bayárcal;326;170;156
04021;Bayarque;221;104;117
04022;Bédar;1012;506;506
04023;Beires;144;78;66
04024;Benahadux;4643;2294;2349
04026;Benitagla;58;33;25
04027;Benizalón;254;144;110
04028;Bentarique;241;131;110
04029;Berja;12917;6670;6247
04030;Canjáyar;1153;597;556
04031;Cantoria;3573;1804;1769
04032;Carboneras;8375;4303;4072
04033;Castro de Filabres;109;58;51
04036;Chercos;302;154;148
04037;Chirivel;1540;795;745
04034;Cóbdar;202;109;93
04035;Cuevas del Almanzora;15023;7812;7211
04038;Dalías;4202;2084;2118
04902;Ejido, El;89975;47198;42777
04041;Enix;588;323;265
04043;Felix;767;446;321
04044;Fines;2235;1184;1051
04045;Fiñana;1991;1009;982
04046;Fondón;1094;568;526
04047;Gádor;3029;1591;1438
04048;Gallardos, Los;3034;1521;1513
04049;Garrucha;10336;5397;4939
04050;Gérgal;1191;667;524
04051;Huécija;533;258;275
04052;Huércal de Almería;18507;9350;9157
04053;Huércal-Overa;20425;10163;10262
04054;Íllar;451;237;214
04055;Instinción;484;248;236
04056;Laroya;198;112;86
04057;Láujar de Andarax;1611;811;800
04058;Líjar;389;210;179
04059;Lubrín;1422;715;707
04060;Lucainena de las Torres;704;360;344
04061;Lúcar;829;415;414
04062;Macael;5381;2728;2653
04063;María;1209;625;584
04064;Mojácar;7386;3628;3758
04903;Mojonera, La;8778;4831;3947
04065;Nacimiento;508;269;239
04066;Níjar;32858;18496;14362
04067;Ohanes;550;284;266
04068;Olula de Castro;189;104;85
04069;Olula del Río;6354;3244;3110
04070;Oria;2233;1174;1059
04071;Padules;437;230;207
04072;Partaloa;924;462;462
04073;Paterna del Río;387;218;169
04074;Pechina;4358;2250;2108
04075;Pulpí;11247;5827;5420
04076;Purchena;1551;794;757
04077;Rágol;297;149;148
04078;Rioja;1594;815;779
04079;Roquetas de Mar;106510;55142;51368
04080;Santa Cruz de Marchena;237;126;111
04081;Santa Fe de Mondújar;494;256;238
04082;Senés;288;159;129
04083;Serón;2105;1095;1010
04084;Sierro;379;204;175
04085;Somontín;521;274;247
04086;Sorbas;2527;1318;1209
04087;Suflí;229;119;110
04088;Tabernas;4032;2095;1937
04089;Taberno;958;472;486
04090;Tahal;373;192;181
04091;Terque;400;211;189
04092;Tíjola;3518;1759;1759
04901;Tres Villas, Las;581;319;262
04093;Turre;4092;2103;1989
04094;Turrillas;278;154;124
04095;Uleila del Campo;820;409;411
04096;Urrácal;378;193;185
04097;Velefique;258;146;112
04098;Vélez-Blanco;1914;981;933
04099;Vélez-Rubio;6558;3189;3369
04100;Vera;18919;9632;9287
04101;Viator;6160;3135;3025
04102;Vícar;28245;15331;12914
04103;Zurgena;2972;1505;1467
01051;Agurain/Salvatierra;5085;2583;2502
01001;Alegría-Dulantzi;2975;1539;1436
01002;Amurrio;10313;5134;5179
01049;Añana;156;95;61
01003;Aramaio;1409;732;677
01006;Armiñón;232;120;112
01037;Arraia-Maeztu;812;450;362
01008;Arratzua-Ubarrundia;1043;559;484
01004;Artziniega;1832;898;934
01009;Asparrena;1609;817;792
01010;Ayala/Aiara;2918;1479;1439
01011;Baños de Ebro/Mañueta;295;168;127
01013;Barrundia;897;493;404
