municipio;nombre;provincia;superficie;latitud;longitud;altitud;rango tamaño población;poblacion;poblacion hombres;poblacion mujeres;densidad poblacional;indice gini;P80P20;Renta media hogar;renta media unidad consumo;renta media persona;salarios;pensiones;otros ingresos;otras prestaciones;desempleo;edad media;votos totales;votos blancos;participacion;pct_psoe;pct_pp;pct_vox;pct_cs;pct_up_sumar;pct_erc;pct_jxcat;pct_cup;pct_pnv;pct_ehbildu;pct_bng;pct_cc;pct_prc;pct_naplus;pct_teruel;pct_otros
02001;Abengibre;Albacete;30.769225;39.2100078;-1.54384487;634.0;501-1000;760;369;391;24.70000463125087;28.7;2.6;34249.0;20666.0;14105.0;56.1;28.3;10.4;4.1;1.2;;558;3;80.70921985815603;0.388889;0.422939;0.137993;0.0;0.046595;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.003584
02002;Alatoz;Albacete;63.8536;39.09494843;-1.36097604;858.0;101-500;491;268;223;7.689464650387762;28.100000000000005;2.3;25953.0;17008.0;12222.0;51.29999999999999;29.3;10.1;6.3;3.1;;345;1;84.9514563106796;0.391304;0.402899;0.185507;0.0;0.011594;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.008696
02003;Albacete;Albacete;1126.9896;38.99588053;-1.85574745;681.0;100001-500000;173206;84585;88621;153.68908461976932;28.66349206349206;2.509523809523809;37612.63492063492;21948.43650793651;14797.015873015873;62.97380952380952;19.876984126984127;10.407142857142857;4.765873015873016;2.0087301587301587;42.92;95936;872;73.17474689274837;0.310843;0.418175;0.178921;0.0;0.080366;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.011695
02004;Albatana;Albacete;30.5282;38.5708754;-1.52275248;582.0;501-1000;655;332;323;21.45557222502473;27.2;2.3;24650.0;15832.0;11108.0;46.0;30.600000000000005;14.800000000000002;5.599999999999999;3.1;;461;4;83.03571428571429;0.409978;0.416486;0.132321;0.0;0.032538;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.008677
02005;Alborea;Albacete;71.8676;39.27835442;-1.39670449;706.0;501-1000;666;350;316;9.267041058835972;31.600000000000005;2.5;23178.0;15150.0;11049.0;51.29999999999999;28.100000000000005;11.6;5.0;4.0;;419;6;81.61350844277673;0.400955;0.429594;0.138425;0.0;0.026253;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.004773
02006;Alcadozo;Albacete;99.587;38.6489758;-1.9802275;925.0;501-1000;648;355;293;6.506873387088676;26.2;2.1;26677.0;16595.0;12015.0;43.70000000000001;29.399999999999995;17.3;6.3;3.4;;459;1;81.05263157894737;0.411765;0.427015;0.12854;0.0;0.028322;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.004357
02007;Alcalá del Júcar;Albacete;146.824446;39.1932018;-1.42932697;547.0;1001-2000;1129;604;525;7.689455201485998;29.8;2.5;23178.0;16317.0;12081.0;48.1;28.399999999999995;15.800000000000002;4.7;3.0;;769;0;81.3152400835073;0.544863;0.304291;0.078023;0.0;0.063719;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.009103
02008;Alcaraz;Albacete;370.3396;38.66425104;-2.49034957;953.0;1001-2000;1304;678;626;3.521092532367589;29.100000000000005;2.2;27829.0;17709.0;12494.0;55.20000000000001;25.5;10.1;5.8;3.4;;787;6;73.03167420814479;0.395172;0.359593;0.184244;0.0;0.054638;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.006353
02009;Almansa;Albacete;532.4079;38.86968811;-1.09414681;687.0;20001-50000;24282;12044;12238;45.607888237571224;26.69090909090909;2.231818181818182;31386.31818181818;18804.36363636364;12777.181818181818;60.66363636363636;22.331818181818186;9.959090909090907;4.318181818181818;2.7590909090909093;;13875;149;73.93000156014354;0.424144;0.376721;0.112432;0.0;0.07618;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.010523
02010;Alpera;Albacete;178.3779;38.95969094;-1.23080245;852.0;2001-5000;2268;1186;1082;12.714579552736073;26.3;2.22;26960.0;16041.2;10965.6;53.32000000000001;25.0;13.04;5.4;3.26;;1443;8;83.5990888382688;0.424116;0.379071;0.147609;0.0;0.045045;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.004158
02011;Ayna;Albacete;146.5896;38.55217746;-2.07053831;696.0;501-1000;601;334;267;4.099881574136228;30.100000000000005;2.5;26819.0;19238.0;14531.0;49.9;32.4;10.5;4.8;2.3;;470;3;83.89380530973452;0.353191;0.438298;0.161702;0.0;0.046809;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
02012;Balazote;Albacete;65.153733;38.88396156;-2.15096732;771.0;2001-5000;2408;1236;1172;36.95874187285631;26.95;2.2;30124.75;17729.25;11994.0;57.3;15.525;19.025;4.375;3.8;;1509;12;84.40065681444992;0.412856;0.41617;0.119284;0.0;0.047714;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.003976
02014;Ballestero, El;Albacete;138.693693;38.84252196;-2.45508633;1027.0;101-500;414;217;197;2.9849951432182285;26.899999999999995;2.4;27709.0;18030.0;12726.0;53.5;27.8;10.9;5.7;2.1;;269;4;79.88338192419825;0.513011;0.30855;0.063197;0.0;0.104089;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.011152
