id_municipio;nombre_municipio;id_provincia;superficie_km2;perimetro;longitud;latitud;altitud
01001;Alegría-Dulantzi;01;19.945871999999998;35069;-2.51243731;42.83981158;568.0
01002;Amurrio;01;96.2968;65381;-3.00007326;43.05427776;219.0
01003;Aramaio;01;73.0896;42097;-2.56540037;43.05119653;333.0
01004;Artziniega;01;27.287300000000002;22886;-3.12791718;43.12084358;210.0
01006;Armiñón;01;12.9727;24707;-2.87183475;42.72326199;467.0
01008;Arratzua-Ubarrundia;01;57.531800000000004;67180;-2.63878816;42.89116171;528.0
01009;Asparrena;01;65.1076;53754;-2.31670754;42.88968768;602.0
01010;Ayala/Aiara;01;140.9694;64211;-3.04306746;43.07768283;306.0
01011;Baños de Ebro/Mañueta;01;9.5039;18666;-2.67863583;42.52925602;421.0
01013;Barrundia;01;97.2968;57551;-2.49407452;42.91537538;575.0
01014;Berantevilla;01;35.7475;38696;-2.85971414;42.68227191;471.0
01016;Bernedo;01;130.482;85964;-2.49825439;42.62676989;710.0
01017;Campezo/Kanpezu;01;85.360875;53461;-2.35207693;42.66971209;578.0
01018;Zigoitia;01;102.09120000000001;48687;-2.73033002;42.96210609;585.0
01019;Kripan;01;12.515989999999999;15980;-2.51621636;42.59082439;691.0
01020;Kuartango;01;84.3196;44380;-2.88438243;42.87006411;594.0
01021;Elburgo/Burgelu;01;32.1004;58545;-2.545933;42.850282;540.0
01022;Elciego;01;16.2558;21854;-2.61723872;42.51420738;451.0
01023;Elvillar/Bilar;01;17.502228;21190;-2.54441267;42.56842577;581.0
01027;Iruraiz-Gauna;01;47.128628;81139;-2.475996232;42.83131017;627.0
01028;Labastida/Bastida;01;38.1073;35903;-2.793199;42.590217;555.0
01030;Lagrán;01;45.620200000000004;34064;-2.58423377;42.62621464;751.0
01031;Laguardia;01;80.9355;84606;-2.58411693;42.55236655;630.0
01032;Lanciego/Lantziego;01;24.253;26407;-2.51278162;42.5624416;542.0
01033;Lapuebla de Labarca;01;6.05;12528;-2.57209001;42.49441468;431.0
01034;Leza;01;9.922543;14579;-2.63459428;42.56469687;569.0
01036;Laudio/Llodio;01;37.7343;27543;-2.96256495;43.1425188;123.0
01037;Arraia-Maeztu;01;123.10794200000001;59163;-2.444299;42.738527;649.0
01039;Moreda de Álava/Moreda Araba;01;8.671106;12022;-2.40841718;42.52479167;461.0
01041;Navaridas;01;8.916398000000001;11775;-2.62479544;42.5450594;535.0
01042;Okondo;01;29.852600000000002;34670;-3.019026823;43.1615513;135.0
01043;Oyón-Oion;01;45.177474000000004;42025;-2.436788;42.506067;435.0
01044;Peñacerrada-Urizaharra;01;62.154300000000006;42340;-2.71402821;42.64417512;752.0
01046;Erriberagoitia/Ribera Alta;01;119.8185;83162;-2.91080642;42.80074682;545.0
01047;Ribera Baja/Erriberabeitia;01;25.3146;30540;-2.91704002;42.71339792;483.0
01049;Añana;01;21.923285;21681;-2.98601634;42.8012318;574.0
01051;Agurain/Salvatierra;01;37.769884000000005;37786;-2.389753;42.850452;608.0
01052;Samaniego;01;10.578;16515;-2.67904862;42.56735197;571.0
01053;San Millán/Donemiliaga;01;85.39209999999999;107247;-2.37748902;42.87382571;600.0
01054;Urkabustaiz;01;60.8496;37118;-2.90661046;42.95304046;633.0
01055;Valdegovía/Gaubea;01;238.2344;104568;-3.09884417;42.84756896;552.0
01056;Harana/Valle de Arana;01;39.121857;37971;-2.33104687;42.75289194;812.0
01057;Villabuena de Álava/Eskuernaga;01;8.479289;14014;-2.66452938;42.54857804;483.0
01058;Legutio;01;45.86;37278;-2.64255929;42.9798744;570.0
01059;Vitoria-Gasteiz;01;276.9839;112139;-2.67275685;42.85058789;539.0
01060;Yécora/Iekora;01;18.802483;20919;-2.4700849;42.56923117;694.0
01061;Zalduondo;01;11.888699999999998;21368;-2.34650825;42.88580971;612.0
01062;Zambrana;01;39.5705;43901;-2.87806502;42.66112968;458.0
01063;Zuia;01;122.5774;49627;-2.81862854;42.95597763;617.0
01901;Iruña Oka/Iruña de Oca;01;53.235;35088;-2.8147543;42.81819126;502.0
01902;Lantarón;01;67.4549;63679;-2.96649719;42.71657557;482.0
