ID_MUNICIPIO;FECHA_ELECCION;V_+MAS+_2015;V_AJU_2015;V_ARAPV_2015;V_AVANT_2015;V_C's_2015;V_CANARIAS_DE_2015;V_CCD_2015;V_CCa-PNC_2015;V_CENTRO_MODE_2015;V_CILUS_2015;V_CRA_2015;V_DL_2015;V_DN_2015;V_EAJ-PNV_2015;V_EB_2015;V_EH_Bildu_2015;V_EL_PI_2015;V_EN_COMÚ_2015;V_EN_POSITIU_2015;V_ERC-CATSI_2015;V_EU-eX_2015;V_FDEE_2015;V_FE_de_las_J_2015;V_GBAI_2015;V_IFem_2015;V_IU-UPeC_2015;V_Independien_2015;V_JS,PC_2015;V_Ln_2015;V_MÉS_2015;V_NÓS_2015;V_OE_2015;V_P-LIB_2015;V_PACMA_2015;V_PCOE_2015;V_PCPE_2015;V_PFyV_2015;V_PH_2015;V_PLD_2015;V_PODEMOS_2015;V_PODEMOS-COM_2015;V_PODEMOS-En_2015;V_PP_2015;V_PREPAL_2015;V_PSOE_2015;V_PT_2015;V_PUM+J_2015;V_RECORTES_CE_2015;V_SAIn_2015;V_SOLUCIONA_2015;V_SOMVAL_2015;V_UPYD_2015;V_VOX_2015;V_X_LA_IZQUIE_2015;V_mlgXSÍ_2015;V_uniocat_2015
01030;2015-12;0;0;0;0;0;0;0;0;0;0;0;0;0;35;0;11;0;0;0;0;0;0;0;0;0;3;0;0;2;0;0;0;0;1;0;0;0;0;0;18;0;0;40;0;10;0;0;1;0;0;0;1;0;0;0;0
01031;2015-12;0;0;0;0;66;0;0;0;0;0;0;0;0;131;2;105;0;0;0;0;0;0;0;0;0;21;0;0;0;0;0;1;0;8;0;3;0;0;0;169;0;0;288;0;82;0;0;1;0;0;0;2;0;0;0;0
01032;2015-12;0;0;0;0;14;0;0;0;0;0;0;0;0;101;0;33;0;0;0;0;0;0;0;0;0;10;0;0;0;0;0;0;0;2;0;0;0;0;0;71;0;0;72;0;56;0;0;0;0;0;0;2;0;0;0;0
01033;2015-12;0;0;0;0;23;0;0;0;0;0;0;0;0;174;0;46;0;0;0;0;0;0;0;0;0;14;0;0;0;0;0;0;0;4;0;0;0;0;0;65;0;0;100;0;73;0;0;1;0;0;0;3;0;0;0;0
01034;2015-12;0;0;0;0;4;0;0;0;0;0;0;0;0;38;1;22;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;28;0;0;11;0;12;0;0;0;0;0;0;0;0;0;0;0
01036;2015-12;0;0;0;0;305;0;0;0;0;0;0;0;0;2438;12;1859;0;0;0;0;0;0;0;0;0;298;0;0;3;0;0;6;0;68;0;7;0;0;0;2978;0;0;1101;0;1426;0;0;16;0;0;0;29;0;0;0;0
01037;2015-12;0;0;0;0;13;0;0;0;0;0;0;0;0;142;0;79;0;0;0;0;0;0;0;0;0;6;0;0;0;0;0;1;0;1;0;0;0;0;0;87;0;0;65;0;21;0;0;1;0;0;0;1;0;0;0;0
01039;2015-12;0;0;0;0;10;0;0;0;0;0;0;0;0;25;0;10;0;0;0;0;0;0;0;0;0;6;0;0;0;0;0;0;0;0;0;0;0;0;0;42;0;0;33;0;30;0;0;0;0;0;0;0;0;0;0;0
01041;2015-12;0;0;0;0;7;0;0;0;0;0;0;0;0;26;0;7;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;1;0;1;0;1;0;0;0;14;0;0;36;0;3;0;0;1;0;0;0;0;0;0;0;0
01042;2015-12;0;0;0;0;4;0;0;0;0;0;0;0;0;234;2;152;0;0;0;0;0;0;0;0;0;7;0;0;1;0;0;0;0;6;0;2;0;0;0;169;0;0;40;0;22;0;0;0;0;0;0;0;0;0;0;0
01043;2015-12;0;0;0;0;132;0;0;0;0;0;0;0;0;217;0;151;0;0;0;0;0;0;0;0;0;64;0;0;0;0;0;0;0;9;0;1;0;0;0;394;0;0;359;0;279;0;0;4;0;0;0;6;0;0;0;0
01044;2015-12;0;0;0;0;6;0;0;0;0;0;0;0;0;39;0;33;0;0;0;0;0;0;0;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;35;0;0;45;0;23;0;0;0;0;0;0;1;0;0;0;0
01046;2015-12;0;0;0;0;22;0;0;0;0;0;0;0;0;114;0;40;0;0;0;0;0;0;0;0;0;16;0;0;0;0;0;0;0;3;0;1;0;0;0;105;0;0;90;0;40;0;0;0;0;0;0;1;0;0;0;0
01047;2015-12;0;0;0;0;74;0;0;0;0;0;0;0;0;111;0;22;0;0;0;0;0;0;0;0;0;17;0;0;0;0;0;0;0;8;0;2;0;0;0;176;0;0;182;0;92;0;0;0;0;0;0;6;0;0;0;0
