ID_MUNICIPIO;V_BLANCOS_2015;PARTICIPACION_2015
04001;6;74.97691597414588
04002;1;71.96613358419567
04003;57;62.94845954506191
04004;2;74.58432304038006
04005;1;75.90987868284229
04006;33;68.74287343215506
04007;0;75.13586956521739
04008;3;83.8323353293413
04009;0;75.14792899408283
04010;2;81.00172711571675
04011;14;80.20014295925661
04012;1;89.00523560209425
04013;669;67.46435556563395
04014;0;77.12418300653596
04015;1;75.38461538461539
04016;8;73.81174277726001
04017;5;67.71714066102997
04018;0;89.41605839416059
04019;0;79.2828685258964
04020;1;71.23287671232876
04021;1;79.14438502673798
04022;1;69.82758620689656
04023;1;74.82014388489209
04024;18;76.58102766798419
04026;0;85.71428571428571
04027;1;65.46184738955823
04028;0;87.61061946902655
04029;53;68.67334308540565
04030;8;72.63157894736842
04031;7;75.92200084781688
04032;19;67.58829825187298
04033;3;71.94244604316546
04034;3;62.42774566473989
04035;28;72.58507462686568
04036;2;77.19298245614034
04037;6;77.66768292682927
04038;20;70.7436399217221
04041;6;75.78616352201259
04043;3;85.34798534798534
04044;9;80.57877813504824
04045;9;78.89701744513225
04046;6;76.33410672853829
04047;13;83.66988586479368
04048;7;73.45309381237524
04049;20;69.28030303030303
04050;3;71.92771084337349
04051;0;84.77272727272728
04052;84;68.53666503348032
04053;66;73.98037784804995
04054;1;81.81818181818183
04055;0;84.67741935483872
04056;0;83.6734693877551
04057;2;70.38145100972326
04058;2;79.13279132791328
04059;7;68.36363636363636
04060;2;77.46781115879828
04061;5;80.09708737864078
04062;20;79.726148409894
04063;2;77.07006369426752
04064;8;73.11982727599856
04065;2;79.23497267759562
04066;65;63.736830472261104
04067;0;73.97260273972603
04068;0;81.02564102564102
04069;29;77.6001705029838
04070;7;75.97042513863215
04071;2;82.1608040201005
04072;14;79.42122186495176
04073;2;69.57831325301204
04074;24;69.4591728525981
04075;19;73.21428571428571
04076;7;77.54629629629629
04077;2;91.41914191419141
04078;7;71.59817351598173
04079;200;66.65748031496062
04080;2;81.85840707964603
04081;2;81.46067415730337
04082;0;68.62745098039215
04083;8;77.31843575418993
04084;1;78.33827893175074
04085;0;76.45569620253164
04086;8;70.92633928571429
04087;1;74.07407407407408
04088;10;69.37373737373737
04089;6;71.84986595174263
04090;1;78.31715210355988
04091;4;81.87134502923976
04092;13;76.85834502103786
04093;10;67.57478632478633
04094;1;67.46411483253588
04095;2;64.18732782369146
04096;0;75.91240875912408
04097;0;77.16535433070865
04098;8;75.2765126870527
04099;26;75.86206896551724
04100;30;63.647842056932966
04101;22;69.32056969413962
04102;114;65.45997523490422
04103;6;71.10960757780785
04901;0;71.98515769944342
04902;249;62.64738941661341
04903;35;66.65132336018412
04904;15;67.36782262649233
11001;17;67.37491432488005
11002;15;75.69395847912293
11003;12;71.41732283464567
11004;581;62.31084329191916
11005;21;70.24122807017544
11006;176;67.94400914136467
11007;181;60.05766245287203
11008;151;67.58304696449026
11009;5;70.7641196013289
11010;63;68.89408099688474
11011;14;73.4004739336493
11012;590;72.40792355166235
11013;16;72.59036144578313
11014;166;67.0299565243285
11015;407;64.71597927394646
11016;124;66.83467741935483
11017;28;74.49329591518553
11018;10;74.68013468013469
11019;5;77.21311475409836
11020;1184;68.8422007255139
11021;52;71.21145049431902
11022;277;54.422075525851824
11023;86;74.7273893521488
11024;33;75.93170007423905
11025;29;72.63157894736842
11026;31;74.5420482930891
11027;400;68.62961329216292
11028;274;71.28673306283045
11029;27;57.27958770476717
11030;145;67.45481663449728
11031;568;67.82033171140061
11032;371;60.17291921778174
11033;171;64.92562460886728
11034;10;68.4861407249467
11035;93;66.32765863365023
11036;13;63.25648414985591
11037;20;79.09475167312434
11038;121;76.74418604651163
11039;98;66.54719235364396
11040;3;81.90954773869346
11041;85;71.45900974025975
