municipio;nombre;provincia;superficie;latitud;longitud;altitud;rango tamaño población;poblacion;poblacion hombres;poblacion mujeres;densidad poblacional;indice gini;P80P20;Renta media hogar;renta media unidad consumo;renta media persona;salarios;pensiones;otros ingresos;otras prestaciones;desempleo;votos totales;imputado
02024;Casas-Ibáñez;Albacete;103.2514;39.28701686;-1.47129143;708.0;2001-5000;4538;2294;2244;43.95097790441582;28.05;2.333333333333333;25089.0;14635.333333333334;9845.0;55.68333333333334;22.08333333333333;15.95;3.35;3.016666666666667;2387;False
02025;Caudete;Albacete;141.23860000000002;38.70573009;-0.9886912;554.0;5001-10000;9963;5073;4890;70.5402064308199;28.155555555555555;2.4222222222222225;23827.666666666668;14015.555555555557;9399.222222222224;61.13333333333334;23.47777777777777;7.355555555555556;4.911111111111111;3.155555555555556;5227;False
02026;Cenizate;Albacete;63.260153;39.30332101;-1.66113349;706.0;1001-2000;1181;597;584;18.668939988178657;25.399999999999995;2.0;22723.0;12608.0;8235.0;58.4;21.0;11.199999999999998;5.1;4.2;629;False
02029;Chinchilla de Monte-Aragón;Albacete;679.2733000000001;38.9210968;-1.72602643;907.0;2001-5000;4206;2196;2010;6.191911267526634;28.02;2.3;26471.0;16030.0;10772.4;68.3;16.46;8.540000000000001;3.76;2.94;2307;False
02027;Corral-Rubio;Albacete;94.755686;38.83500072;-1.4608525;870.0;101-500;324;174;150;3.4193198706830112;30.399999999999995;2.9;24849.0;15831.0;10946.0;52.6;26.399999999999995;13.9;5.3;1.9;202;False
02028;Cotillas;Albacete;14.469288;38.43135915;-2.50574545;947.0;101-500;123;64;59;8.500763824730008;29.5;2.6;17534.0;12798.0;9825.0;41.6;37.0;7.5;9.3;4.6;81;False
02030;Elche de la Sierra;Albacete;239.494125;38.44790893;-2.04781376;630.0;2001-5000;3585;1787;1798;14.969051954823527;28.860000000000003;2.3600000000000003;22547.0;13838.2;9437.4;54.9;25.32;9.32;5.86;4.64;2106;False
02031;Férez;Albacete;126.1586;38.35567013;-2.00953934;682.0;501-1000;643;317;326;5.096759158709751;31.899999999999995;2.3;20946.0;13490.0;9419.0;43.4;33.4;11.800000000000002;6.0;5.400000000000001;397;False
02032;Fuensanta;Albacete;24.1125;39.24466001;-2.06725219;693.0;101-500;297;168;129;12.317262830482116;29.100000000000005;2.5;19107.0;13946.0;10309.0;48.5;34.4;8.9;5.8;2.5;176;False
02033;Fuente-Álamo;Albacete;133.37120000000002;38.69314229;-1.43170411;820.0;2001-5000;2489;1307;1182;18.6621999352184;30.3;2.4;21609.5;12909.5;8779.75;51.75;23.3;15.35;6.2;3.45;1303;False
02034;Fuentealbilla;Albacete;108.29379;39.26773579;-1.54879364;670.0;1001-2000;1792;914;878;16.54757858229913;28.7;2.2;24242.0;14290.0;9664.0;56.9;22.7;13.5;4.1;2.7999999999999994;1012;False
02035;Gineta, La;Albacete;137.1352;39.11387916;-1.99784496;691.0;2001-5000;2512;1304;1208;18.31768940432508;27.65;2.35;26202.75;15304.0;10023.0;62.75;17.724999999999998;12.975;3.65;2.9;1468;False
