id_municipio;nombre_municipio;total_paro;p_h_u25;p_h_25_44;p_h_o45;p_m_u25;p_m_25_44;p_m_o45;p_agr;p_ind;p_con;p_ser;p_sin_empleo;total_contratos;c_h_indef;c_h_temp;c_h_conv;c_m_indef;c_m_temp;c_m_conv;c_agr;c_ind;c_con;c_ser
44213;SINGRA;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;1;0;0;0
44215;TERRIENTE;1;0;1;0;0;0;0;0;0;0;1;0;6;0;2;0;0;4;0;1;0;2;3
44216;TERUEL;1716;142;268;307;119;421;459;36;176;122;1238;144;1833;71;1016;38;53;625;30;44;859;79;851
44217;TORIL Y MASEGOSO;1;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0
44218;TORMON;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
44219;TORNOS;4;0;0;2;1;1;0;0;0;0;4;0;1;0;1;0;0;0;0;0;0;1;0
44220;TORRALBA DE LOS SISONES;2;0;0;1;0;1;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0
44221;TORRECILLA DE ALCAÑIZ;16;0;2;2;1;7;4;1;3;1;11;0;8;0;3;0;0;5;0;1;0;0;7
44222;TORRECILLA DEL REBOLLAR;2;0;1;1;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0
44223;TORRE DE ARCAS;4;0;0;3;0;0;1;0;1;2;1;0;1;0;1;0;0;0;0;1;0;0;0
44224;TORRE DE LAS ARCAS;2;0;0;1;0;0;1;1;0;0;0;1;1;0;0;0;0;1;0;0;0;0;1
44225;TORRE DEL COMPTE;6;0;1;2;0;1;2;0;0;0;6;0;0;0;0;0;0;0;0;0;0;0;0
44226;TORRELACARCEL;2;0;1;1;0;0;0;0;2;0;0;0;1;0;0;0;0;1;0;0;0;0;1
44227;TORRE LOS NEGROS;2;1;0;0;0;0;1;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0
44228;TORREMOCHA DE JILOCA;3;0;0;0;0;2;1;0;1;0;2;0;2;0;1;0;1;0;0;0;0;0;2
44229;TORRES DE ALBARRACIN;5;0;2;1;0;2;0;0;1;0;4;0;6;1;4;0;0;1;0;0;0;0;6
