id_municipio;nombre_municipio;total_paro;p_h_u25;p_h_25_44;p_h_o45;p_m_u25;p_m_25_44;p_m_o45;p_agr;p_ind;p_con;p_ser;p_sin_empleo;total_contratos;c_h_indef;c_h_temp;c_h_conv;c_m_indef;c_m_temp;c_m_conv;c_agr;c_ind;c_con;c_ser
15001;ABEGONDO;197;5;26;49;2;43;71;12;25;14;131;15;128;16;61;9;9;31;2;15;5;43;65
15002;AMES;1360;23;192;300;31;340;474;22;84;83;1025;146;1083;106;470;7;88;394;18;2;35;16;1031
15003;ARANGA;49;0;10;16;0;18;5;2;2;2;42;2;12;2;5;0;2;2;0;2;2;0;9
15004;ARES;258;5;30;79;2;46;94;8;25;28;178;19;98;8;39;0;9;42;0;2;2;0;93
15005;ARTEIXO;1670;30;233;394;29;360;624;27;188;124;1164;167;1450;175;503;25;177;541;29;8;354;59;1029
15006;ARZUA;150;2;14;47;2;26;58;11;16;13;102;8;159;11;80;0;6;61;2;2;7;0;151
15007;BAÑA, A;132;2;15;33;2;29;52;6;18;15;88;5;27;2;11;0;2;11;2;5;0;0;22
15008;BERGONDO;300;2;29;78;6;67;119;2;15;18;245;20;402;95;171;15;71;46;2;2;39;62;297
15009;BETANZOS;607;6;63;154;15;138;231;9;35;46;462;55;325;40;119;7;30;126;2;2;21;10;292
15010;BOIMORTO;62;2;6;25;2;7;20;6;7;9;35;5;71;2;20;0;5;43;2;0;2;0;69
15011;BOIRO;716;23;107;172;15;171;228;22;112;52;479;51;553;65;170;6;72;236;2;8;123;21;401
15012;BOQUEIXON;106;2;13;20;2;32;38;9;7;7;80;2;79;17;34;2;13;13;2;7;5;2;65
15013;BRION;297;5;42;89;6;73;82;7;24;23;220;23;154;15;51;2;6;81;0;0;8;8;138
15014;CABANA DE BERGANTIÑOS;156;2;17;39;2;27;67;7;35;27;77;10;38;2;16;2;6;11;2;0;5;2;32
15015;CABANAS;122;2;19;35;2;20;42;2;12;8;87;13;163;37;40;28;24;33;2;0;46;10;107
15016;CAMARIÑAS;244;2;24;56;2;57;104;20;22;21;161;20;104;31;20;2;18;30;2;27;2;5;71
15017;CAMBRE;1167;23;134;289;14;231;476;17;118;80;853;99;831;59;282;14;68;401;7;7;66;51;707
15018;CAPELA, A;52;0;7;15;2;11;18;2;8;2;33;2;28;7;8;0;2;10;2;2;2;5;21
15019;CARBALLO;1849;42;191;382;34;408;792;34;399;243;1026;147;553;112;152;13;68;192;16;6;54;52;441
15020;CARNOTA;133;2;14;38;2;18;61;15;21;14;74;9;179;5;73;0;2;96;2;86;14;2;76
15021;CARRAL;237;9;32;54;7;64;71;10;31;18;152;26;89;35;18;7;23;5;2;2;52;2;33
15022;CEDEIRA;294;2;37;81;5;59;110;26;29;15;201;23;109;20;37;0;6;46;0;13;6;2;89
15023;CEE;337;2;41;75;5;82;133;13;32;28;233;31;117;19;37;2;10;49;2;8;10;5;94
15024;CERCEDA;155;2;17;33;0;47;54;6;23;16;105;5;232;12;113;8;12;75;12;2;153;2;73
15025;CERDIDO;47;2;5;21;0;5;15;8;8;2;25;2;66;24;0;21;11;2;6;62;2;0;2
15026;CESURAS;61;2;6;21;2;9;20;2;9;6;44;2;17;2;5;0;2;5;0;0;0;0;17
15027;COIROS;51;2;9;14;0;15;11;2;2;6;38;2;38;2;13;2;2;16;2;2;2;2;29
15028;CORCUBION;78;0;12;27;0;14;25;2;2;8;64;2;41;2;17;0;5;17;0;0;0;0;41
15029;CORISTANCO;309;9;29;81;6;56;128;17;75;59;136;22;65;7;24;2;6;25;2;6;6;2;50
15030;CORUÑA, A;13461;245;1934;3526;259;2769;4728;167;895;801;10135;1463;10314;1241;4044;131;1034;3737;127;72;809;323;9110
15031;CULLEREDO;1583;23;199;370;31;338;622;11;141;117;1203;111;645;156;192;21;94;173;9;0;84;118;443
15032;CURTIS;119;2;10;32;2;33;41;2;2;11;90;10;82;20;20;2;14;25;0;10;16;5;51
15033;DODRO;101;2;14;28;2;20;37;8;14;7;70;2;36;2;16;0;2;14;0;0;2;2;34
15034;DUMBRIA;131;2;20;26;2;32;51;2;13;12;98;5;21;2;5;2;2;8;0;2;0;0;17
15035;FENE;598;7;98;149;7;106;231;9;49;65;426;49;189;25;50;15;8;82;9;2;33;12;142
15036;FERROL;4042;81;563;1081;84;834;1399;101;274;323;2791;553;1246;161;322;24;176;541;22;2;67;54;1122
15037;FISTERRA;177;2;26;43;2;38;65;12;2;13;133;15;104;17;21;0;16;49;2;10;2;2;92
15038;FRADES;64;2;11;18;0;10;22;7;6;5;40;6;22;5;6;2;0;9;0;2;2;5;13
15039;IRIXOA;38;2;2;12;0;6;15;0;2;2;30;2;13;2;2;0;0;8;0;2;0;0;12
15040;LAXE;156;2;17;38;2;30;65;2;20;17;108;7;65;8;24;2;5;27;0;6;2;0;56
15041;LARACHA, A;507;7;61;107;9;121;202;11;95;54;317;30;161;22;67;2;24;42;2;2;54;5;99
15042;LOUSAME;105;0;12;37;2;29;24;7;8;11;74;5;35;5;11;2;2;16;0;2;21;2;10
15043;MALPICA DE BERGANTIÑOS;254;5;27;56;2;33;129;2;84;17;128;21;121;24;38;2;9;48;2;17;2;2;102
15044;MAÑON;27;0;2;10;0;0;13;2;2;2;21;0;70;2;31;0;6;32;0;0;2;0;68
15045;MAZARICOS;101;0;8;36;0;24;33;11;10;21;54;5;30;6;17;0;2;2;0;6;2;2;18
15046;MELIDE;258;2;34;67;2;61;92;28;36;18;158;18;179;27;50;5;38;59;0;2;14;2;158
15047;MESIA;64;2;7;17;2;11;24;8;10;2;37;6;49;11;16;2;9;8;2;11;20;2;17
15048;MIÑO;287;5;41;79;8;69;85;5;25;23;218;16;99;19;22;2;20;35;2;0;2;2;92
15049;MOECHE;36;2;5;10;0;7;12;2;2;2;26;2;15;2;2;0;5;6;0;2;0;0;13
15050;MONFERO;39;0;8;14;0;9;8;2;8;7;21;2;21;2;9;2;2;5;0;2;2;2;12
15051;MUGARDOS;244;6;36;76;2;38;87;10;26;26;162;20;71;8;25;2;7;27;2;2;2;6;59
15052;MUXIA;169;2;15;42;5;41;62;5;14;30;108;12;76;14;27;2;5;29;0;14;2;2;57
15053;MUROS;290;7;27;80;2;50;124;24;43;34;167;22;210;34;77;2;24;72;0;12;2;7;189
15054;NARON;1933;39;274;445;46;442;687;45;188;149;1323;228;790;114;289;16;42;319;10;16;122;51;601
15055;NEDA;226;5;35;64;2;39;81;2;26;17;158;22;66;2;19;2;6;34;2;0;10;0;56
15056;NEGREIRA;307;2;30;71;7;71;124;11;34;24;202;36;98;9;29;2;12;42;2;7;2;2;86
15057;NOIA;563;10;74;137;14;131;197;24;56;38;399;46;334;100;80;2;59;88;2;29;13;32;260
15058;OLEIROS;1497;38;222;390;19;275;553;16;101;102;1177;101;723;110;209;24;98;264;18;2;18;35;668
15059;ORDES;526;11;62;99;13;124;217;27;105;36;299;59;399;21;173;11;24;168;2;7;23;17;352
15060;OROSO;294;5;36;60;5;64;124;7;32;21;201;33;154;34;74;2;10;33;2;2;8;17;126
