ID_MUNICIPIO;pct_psoe;pct_pp;pct_vox;pct_cs;pct_up_sumar;pct_erc;pct_jxcat;pct_cup;pct_pnv;pct_ehbildu;pct_bng;pct_cc;pct_prc;pct_naplus;pct_teruel;pct_otros
1058;0.0;0.065455;0.0;0.0;0.0;0.0;0.0;0.0;0.209697;0.344242;0.0;0.0;0.0;0.0;0.0;0.380606
1059;0.0;0.20763;0.0;0.0;0.0;0.0;0.0;0.0;0.131894;0.100742;0.0;0.0;0.0;0.0;0.0;0.559734
1060;0.0;0.377358;0.0;0.0;0.0;0.0;0.0;0.0;0.251572;0.056604;0.0;0.0;0.0;0.0;0.0;0.314465
1061;0.0;0.015385;0.0;0.0;0.0;0.0;0.0;0.0;0.3;0.323077;0.0;0.0;0.0;0.0;0.0;0.361538
1062;0.0;0.253521;0.0;0.0;0.0;0.0;0.0;0.0;0.201878;0.061033;0.0;0.0;0.0;0.0;0.0;0.483568
1063;0.0;0.124615;0.0;0.0;0.0;0.0;0.0;0.0;0.252308;0.216923;0.0;0.0;0.0;0.0;0.0;0.406154
1901;0.0;0.191283;0.0;0.0;0.0;0.0;0.0;0.0;0.107748;0.074455;0.0;0.0;0.0;0.0;0.0;0.626513
1902;0.0;0.209924;0.0;0.0;0.0;0.0;0.0;0.0;0.217557;0.091603;0.0;0.0;0.0;0.0;0.0;0.480916
2001;0.353755;0.492095;0.0;0.0;0.071146;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.083004
2002;0.375315;0.473552;0.0;0.0;0.062972;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.088161
2003;0.223353;0.361964;0.003244;0.0;0.165166;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.246273
2004;0.385859;0.434343;0.0;0.0;0.076768;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.10303
2005;0.306265;0.466357;0.0;0.0;0.090487;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.136891
2006;0.37395;0.472689;0.0;0.0;0.07563;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.077731
2007;0.496269;0.304726;0.0;0.0;0.136816;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.062189
2008;0.394007;0.380688;0.00222;0.0;0.107658;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.115427
2009;0.281109;0.338342;0.001639;0.0;0.169581;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.209329
2010;0.362765;0.409309;0.0;0.0;0.088296;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.13963
2011;0.481553;0.434951;0.0;0.0;0.052427;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.031068
2012;0.505109;0.302043;0.000639;0.0;0.054278;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.137931
2013;0.211538;0.480769;0.0;0.0;0.076923;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.230769
2014;0.410169;0.342373;0.00339;0.0;0.033898;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.210169
2015;0.403061;0.397959;0.0;0.0;0.082483;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.116497
2016;0.380952;0.385488;0.002268;0.0;0.090703;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.14059
2017;0.445545;0.417492;0.00165;0.0;0.059406;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.075908
2018;0.358663;0.442249;0.00304;0.0;0.059271;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.136778
2019;0.451481;0.339632;0.001021;0.0;0.096527;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.111338
2020;0.423592;0.420912;0.0;0.0;0.075067;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.080429
2021;0.299387;0.444172;0.001227;0.0;0.12638;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.128834
2022;0.251799;0.553957;0.007194;0.0;0.07554;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.111511
2023;0.330472;0.48927;0.0;0.0;0.087983;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.092275
2024;0.309928;0.328803;0.000378;0.0;0.144583;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.216308
2025;0.209157;0.414846;0.004683;0.0;0.144641;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.226674
2026;0.431884;0.318841;0.0;0.0;0.101449;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.147826
2027;0.338645;0.47012;0.0;0.0;0.055777;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.135458
2028;0.617647;0.303922;0.0;0.0;0.029412;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.04902
2029;0.283956;0.337569;0.001986;0.0;0.141382;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.235107
2030;0.450147;0.296172;0.003786;0.0;0.10223;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.147665
2031;0.42369;0.38041;0.002278;0.0;0.082005;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.111617
