ID_MUNICIPIO;FECHA_ELECCION;V_AHORA_CANARIAS_2019;V_ANDECHA_2019;V_AUNACV_2019;V_AVANT_ADELANTE_LOS_VERDES_2019;V_AVANT_LOS_VERDES_2019;V_AxSÍ_2019;V_BNG_2019;V_CAnda_2019;V_CCa-PNC-NC_2019;V_CHA_2019;V_CONTIGO_2019;V_CUP-PR_2019;V_C_21_2019;V_CpM_2019;V_Cs_2019;V_DPL_2019;V_EAJ-PNV_2019;V_EB_2019;V_ECP-GUANYEM_2019;V_EH_Bildu_2019;V_ELAK/PCTE_2019;V_ERC-SOBIRANISTES_2019;V_ERPV_2019;V_EXTREMADURA_UNIDA_2019;V_FE_de_las_J_2019;V_FIA_2019;V_GBAI_2019;V_IFem_2019;V_IZAR_2019;V_IZQP_2019;V_JxCAT-JUNTS_2019;V_LOS_VERDES_2019;V_MAS_2019;V_MDyC_2019;V_M_PAÍS_2019;V_M_PAÍS-CHA-_2019;V_MÁS_PAÍS_2019;V_MÁS_PAÍS-AN_2019;V_MÁS_PAÍS-CA_2019;V_MÁS_PAÍS-EQ_2019;V_MÉS-ESQUERR_2019;V_MÉS_COMPROM_2019;V_NA+_2019;V_NC-CCa-PNC_2019;V_P-LIB_2019;V_PACMA_2019;V_PCOE_2019;V_PCPA_2019;V_PCPC_2019;V_PCPE_2019;V_PCTC_2019;V_PCTE_2019;V_PCTE/ELAK_2019;V_PCTG_2019;V_PDSJE_2019;V_PH_2019;V_PODEMOS-EU_2019;V_PODEMOS-EUIB_2019;V_PODEMOS-EUPV_2019;V_PODEMOS-IU_2019;V_PODEMOS-IU-_2019;V_PODEMOS-IU-BATZARRE_2019;V_PODEMOS-IU_LV_CA_2019;V_PODEMOS-IX_2019;V_PP_2019;V_PP-FORO_2019;V_PPSO_2019;V_PRC_2019;V_PREPAL_2019;V_PSC-PSOE_2019;V_PSE-EE_(PSOE)_2019;V_PSOE_2019;V_PSdeG-PSOE_2019;V_PUM+J_2019;V_PYLN_2019;V_RECORTES_CERO-GV_2019;V_RECORTES_CERO-GV-PCAS-TC_2019;V_RISA_2019;V_SOLIDARIA_2019;V_SOMOS_REGIÓ_2019;V_UDT_2019;V_UIG-SOM-CUIDES_2019;V_UNIDOS_SÍ-A_2019;V_UNIÓN_REGIO_2019;V_UPL_2019;V_VERDES_2019;V_VOX_2019;V_XAV_2019;V_centrados_2019;V_¡TERUEL_EXI_2019
01043;2019-11;0;0;0;0;0;0;0;0;0;0;0;0;0;0;42;0;215;0;0;178;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5;0;0;0;0;0;0;0;0;0;0;0;0;0;254;0;0;0;0;248;0;0;0;0;0;411;0;0;4;0;4;0;0;0;0;0;0;0;0;0;0;96;0;0;0
01044;2019-11;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;40;0;0;43;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;17;0;0;0;0;21;0;0;0;0;0;20;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;1;0;0;0
01046;2019-11;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6;0;140;0;0;72;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;63;0;0;0;0;64;0;0;0;0;0;59;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;25;0;0;0
01047;2019-11;0;0;0;0;0;0;0;0;0;0;0;0;0;0;26;0;135;0;0;35;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;2;0;0;0;0;0;0;102;0;0;0;0;136;0;0;0;0;0;135;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;60;0;0;0
01049;2019-11;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;46;0;0;24;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0;6;0;0;0;0;0;9;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0
01051;2019-11;0;0;0;0;0;0;0;0;0;0;0;0;0;0;18;0;658;0;0;742;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;9;0;0;0;0;0;0;1;0;0;0;0;0;0;318;0;0;0;0;114;0;0;0;0;0;339;0;0;1;0;2;0;0;0;0;0;0;0;0;0;0;39;0;0;0
01052;2019-11;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;63;0;0;49;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;21;0;0;0;0;11;0;0;0;0;0;38;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0
01053;2019-11;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;124;0;0;127;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;47;0;0;0;0;20;0;0;0;0;0;31;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;0
01054;2019-11;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5;0;187;0;0;276;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;107;0;0;0;0;27;0;0;0;0;0;68;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;21;0;0;0
01055;2019-11;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6;0;204;0;0;101;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;57;0;0;0;0;74;0;0;0;0;0;74;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;23;0;0;0
01056;2019-11;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;61;0;0;22;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;10;0;0;0;0;11;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0
01057;2019-11;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;81;0;0;59;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;16;0;0;0;0;19;0;0;0;0;0;13;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;0
01058;2019-11;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6;0;249;0;0;297;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5;0;0;0;0;0;0;1;0;0;0;0;0;0;144;0;0;0;0;42;0;0;0;0;0;119;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;20;0;0;0
01059;2019-11;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2071;0;27056;0;0;17823;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;929;0;0;0;0;0;0;159;0;0;0;0;0;0;21740;0;0;0;0;21259;0;0;0;0;0;30503;0;0;258;0;328;0;0;0;0;0;0;0;0;0;0;5096;0;0;0
01060;2019-11;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5;0;41;0;0;14;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;15;0;0;0;0;47;0;0;0;0;0;19;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;8;0;0;0
01061;2019-11;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;30;0;0;61;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;17;0;0;0;0;1;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0
01062;2019-11;0;0;0;0;0;0;0;0;0;0;0;0;0;0;8;0;41;0;0;20;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;47;0;0;0;0;41;0;0;0;0;0;39;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;18;0;0;0
