ID_MUNICIPIO;FECHA_ELECCION;V_ANDECHA_2019;V_AVANT_ADELANTE_LOS_VERDES_2019;V_AxS�_2019;V_CAnda_2019;V_CCa-PNC-NC_2019;V_CHA_2019;V_CONTIGO_2019;V_CUP_2019;V_CUP-PR_2019;V_CpM_2019;V_Cs_2019;V_DPL_2019;V_EAJ-PNV_2019;V_ECP-GUANYEM_2019;V_EH_Bildu_2019;V_EXTREMADURA_UNIDA_2019;V_FE_de_las_J_2019;V_FIA_2019;V_GBAI_2019;V_IFem_2019;V_IZAR_2019;V_IZQP_2019;V_JxCAT-JUNTS_2019;V_JxCat_2019;V_MAS_2019;V_MDyC_2019;V_M_PA�S-CHA-_2019;V_M�S-ESQUERR_2019;V_M�S_COMPROM_2019;V_M�S_PA�S_2019;V_M�S_PA�S-EQ_2019;V_P-LIB_2019;V_PACMA_2019;V_PCPE_2019;V_PCTE_2019;V_PDSJE_2019;V_PH_2019;V_PODEMOS-EU_2019;V_PODEMOS-IU_2019;V_PP_2019;V_PPSO_2019;V_PRC_2019;V_PREPAL_2019;V_PSOE_2019;V_PUM+J_2019;V_PYLN_2019;V_RECORTES_CERO-GV_2019;V_RISA_2019;V_SOLIDARIA_2019;V_SOMOS_REGI�_2019;V_SUMAR_2019;V_Teruel_Existe_2019;V_UDT_2019;V_UIG-SOM-CUIDES_2019;V_UNIDOS_S�-A_2019;V_UNI�N_REGIO_2019;V_UPL_2019;V_VERDES_2019;V_VOX_2019;V_XAV_2019;V_centrados_2019;V_�TERUEL_EXI_2019
31205;2019-11;0;0;0;0;0;0;0;83;0;0;0;0;0;0;23;0;0;0;5;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;3;0;0;0;32;0;0;0;0;114;1;0;3;0;0;0;0;0;0;0;0;0;0;0;17;0;0;0
31206;2019-11;0;0;0;0;0;0;0;392;0;0;0;0;0;0;313;0;0;0;56;0;0;0;0;0;0;0;0;0;0;0;0;0;15;0;1;0;0;0;252;0;0;0;0;301;5;0;1;0;0;0;0;0;0;0;0;0;0;0;66;0;0;0
31207;2019-11;0;0;0;0;0;0;0;44;0;0;0;0;0;0;62;0;0;0;13;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;30;0;0;0;0;29;0;0;1;0;0;0;0;0;0;0;0;0;0;0;7;0;0;0
31208;2019-11;0;0;0;0;0;0;0;485;0;0;0;0;0;0;28;0;0;0;31;0;0;0;0;0;0;0;0;0;0;0;0;0;9;0;1;0;0;0;325;0;0;0;0;781;2;0;2;0;0;0;0;0;0;0;0;0;0;0;147;0;0;0
31209;2019-11;0;0;0;0;0;0;0;22;0;0;0;0;0;0;24;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0;34;0;0;0;0;16;2;0;0;0;0;0;0;0;0;0;0;0;0;0;6;0;0;0
31210;2019-11;0;0;0;0;0;0;0;33;0;0;0;0;0;0;40;0;0;0;11;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;8;0;0;0;0;25;0;0;1;0;0;0;0;0;0;0;0;0;0;0;9;0;0;0
31211;2019-11;0;0;0;0;0;0;0;9;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
31212;2019-11;0;0;0;0;0;0;0;47;0;0;0;0;0;0;2;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;7;0;0;0;0;27;2;0;1;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0
31213;2019-11;0;0;0;0;0;0;0;0;0;0;0;0;0;0;24;0;0;0;8;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;6;0;0;0;0;7;0;0;1;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0
31214;2019-11;0;0;0;0;0;0;0;8;0;0;0;0;0;0;20;0;0;0;8;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5;0;0;0;0;11;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0
31215;2019-11;0;0;0;0;0;0;0;1071;0;0;0;0;0;0;55;0;0;0;16;0;0;0;0;0;0;0;0;0;0;0;0;0;27;0;1;0;0;0;345;0;0;0;0;1258;4;0;10;0;0;0;0;0;0;0;0;0;0;0;399;0;0;0
31216;2019-11;0;0;0;0;0;0;0;756;0;0;0;0;0;0;320;0;0;0;81;0;0;0;0;0;0;0;0;0;0;0;0;0;13;0;2;0;0;0;570;0;0;0;0;675;4;0;10;0;0;0;0;0;0;0;0;0;0;0;98;0;0;0
31217;2019-11;0;0;0;0;0;0;0;72;0;0;0;0;0;0;31;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;38;0;0;0;0;46;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;0
