ID_MUNICIPIO;V_BLANCOS_2019;PARTICIPACION_2019
04001;3;71.55688622754491
04002;1;70.18756169792695
04003;77;62.91304100551669
04004;2;69.62962962962963
04005;3;79.02621722846442
04006;39;61.02614015572859
04007;3;69.93197278911565
04008;3;80.25751072961373
04009;2;77.85714285714286
04010;5;71.7206132879046
04011;20;73.25072886297376
04012;3;82.06521739130434
04013;893;64.72232458854532
04014;1;69.07894736842105
04015;0;71.68141592920354
04016;13;69.5692883895131
04017;4;65.28213166144201
04018;2;82.44897959183673
04019;0;73.72881355932203
04020;2;68.54304635761589
04021;2;73.74301675977654
04022;5;66.57303370786516
04023;2;71.1864406779661
04024;34;71.42857142857143
04026;0;66.66666666666666
04027;0;59.63302752293578
04028;1;84.54106280193237
04029;43;62.808607021517545
04030;6;65.5893536121673
04031;15;73.68185880250223
04032;43;65.20293911826452
04033;3;64.46280991735537
04034;1;53.84615384615385
04035;45;68.98921673184026
04036;0;74.47698744769873
04037;17;73.43234323432343
04038;17;65.03541532517708
04041;4;65.98837209302324
04043;1;76.9825918762089
04044;8;70.8171206225681
04045;17;74.76415094339622
04046;6;72.67373380447584
04047;13;74.14568345323741
04048;4;64.30953969312874
04049;25;65.942917177377
04050;0;62.668463611859835
04051;2;79.95049504950495
04052;93;65.19714374417883
04053;67;70.6576325229175
04054;2;76.85950413223141
04055;3;82.54847645429363
04056;0;72.72727272727273
04057;6;70.26169706582077
04058;3;69.5906432748538
04059;3;67.60000000000001
04060;2;68.75
04061;5;78.24
04062;22;72.71707426520081
04063;6;72.4007561436673
04064;16;67.30368311327311
04065;1;74.79452054794521
04066;78;64.10924244679268
04067;4;67.46031746031747
04068;0;75.88235294117646
04069;46;70.9405314213412
04070;8;71.15761935905822
04071;2;79.00552486187846
04072;0;68.16720257234726
04073;0;68.50152905198776
04074;15;62.302405498281786
04075;19;67.99707067008421
04076;7;72.20843672456576
04077;3;91.21621621621621
04078;8;64.33007985803016
04079;328;65.27846364883402
04080;2;75.51020408163265
04081;0;75.21367521367522
04082;2;67.27272727272727
04083;8;73.20601851851852
04084;0;70.62314540059347
04085;0;80.83333333333333
04086;3;69.16002452483139
04087;0;73.24840764331209
04088;17;64.93453355155484
04089;2;70.45123726346434
04090;1;76.84563758389261
04091;0;78.9308176100629
04092;4;73.7370118237191
04093;5;59.624413145539904
04094;0;72.55813953488372
04095;4;67.24890829694323
04096;0;77.89473684210526
04097;1;74.89177489177489
04098;0;62.5
04099;22;71.5212981744422
04100;48;59.35545425633415
04101;32;64.69237832874197
04102;57;65.23024926066752
04103;10;70.04189944134079
04901;2;70.0
04902;272;64.5651839985956
04903;18;67.27609349687572
04904;4;68.84210526315789
11001;32;64.44954128440367
