Cod_Muni;Nombre_Muni;Media de la renta por unidad de consumo 2015;Media de la renta por unidad de consumo 2016;Media de la renta por unidad de consumo 2017;Media de la renta por unidad de consumo 2018;Media de la renta por unidad de consumo 2019;Media de la renta por unidad de consumo 2020;Media de la renta por unidad de consumo 2021;Media de la renta por unidad de consumo 2022;Media de la renta por unidad de consumo 2023;Mediana de la renta por unidad de consumo 2015;Mediana de la renta por unidad de consumo 2016;Mediana de la renta por unidad de consumo 2017;Mediana de la renta por unidad de consumo 2018;Mediana de la renta por unidad de consumo 2019;Mediana de la renta por unidad de consumo 2020;Mediana de la renta por unidad de consumo 2021;Mediana de la renta por unidad de consumo 2022;Mediana de la renta por unidad de consumo 2023;Renta bruta media por hogar 2015;Renta bruta media por hogar 2016;Renta bruta media por hogar 2017;Renta bruta media por hogar 2018;Renta bruta media por hogar 2019;Renta bruta media por hogar 2020;Renta bruta media por hogar 2021;Renta bruta media por hogar 2022;Renta bruta media por hogar 2023;Renta bruta media por persona 2015;Renta bruta media por persona 2016;Renta bruta media por persona 2017;Renta bruta media por persona 2018;Renta bruta media por persona 2019;Renta bruta media por persona 2020;Renta bruta media por persona 2021;Renta bruta media por persona 2022;Renta bruta media por persona 2023;Renta neta media por hogar 2015;Renta neta media por hogar 2016;Renta neta media por hogar 2017;Renta neta media por hogar 2018;Renta neta media por hogar 2019;Renta neta media por hogar 2020;Renta neta media por hogar 2021;Renta neta media por hogar 2022;Renta neta media por hogar 2023;Renta neta media por persona 2015;Renta neta media por persona 2016;Renta neta media por persona 2017;Renta neta media por persona 2018;Renta neta media por persona 2019;Renta neta media por persona 2020;Renta neta media por persona 2021;Renta neta media por persona 2022;Renta neta media por persona 2023
01020;Kuartango;;;;;;20044.0;21982.0;23796.0;24587.0;;;;;;19250.0;19950.0;21350.0;22750.0;;;;;;32497.0;36632.0;38919.0;41106.0;;;;;;17365.0;18969.0;20673.0;21318.0;31654.0;33464.0;31876.0;31960.0;32625.0;27807.0;30936.0;32927.0;34872.0;17452.0;18204.0;17671.0;17425.0;17502.0;14859.0;16019.0;17490.0;18085.0
01021;Elburgo/Burgelu;;;;;;24894.0;27182.0;29298.0;31006.0;;;;;;24150.0;24150.0;26250.0;29050.0;;;;;;55886.0;61771.0;64777.0;69966.0;;;;;;19833.0;22131.0;23490.0;24869.0;46504.0;43139.0;44126.0;43182.0;45075.0;46358.0;50470.0;53376.0;57524.0;16868.0;15751.0;16145.0;15932.0;16458.0;16452.0;18082.0;19356.0;20447.0
01022;Elciego;;;;;;19477.0;20004.0;21188.0;23836.0;;;;;;16450.0;17850.0;18550.0;19950.0;;;;;;38865.0;39891.0;42227.0;48073.0;;;;;;16373.0;16943.0;18016.0;20391.0;33074.0;33407.0;32886.0;32561.0;33713.0;32417.0;33105.0;35165.0;40225.0;13874.0;13760.0;13826.0;13543.0;13991.0;13656.0;14061.0;15003.0;17062.0
01023;Elvillar/Bilar;;;;;;15711.0;15923.0;16047.0;19830.0;;;;;;15050.0;15050.0;14700.0;17850.0;;;;;;29307.0;29726.0;28932.0;37030.0;;;;;;12084.0;12448.0;12531.0;15974.0;28936.0;29762.0;31858.0;31284.0;32267.0;25964.0;26300.0;25688.0;32118.0;11330.0;11837.0;12816.0;12965.0;13298.0;10705.0;11013.0;11126.0;13855.0
01027;Iruraiz-Gauna;;;;;;24119.0;26400.0;27590.0;30301.0;;;;;;23450.0;25550.0;26950.0;27650.0;;;;;;49413.0;53731.0;55819.0;61179.0;;;;;;19709.0;21713.0;22638.0;24925.0;36156.0;36700.0;37483.0;38399.0;43264.0;41526.0;44581.0;46399.0;50666.0;13435.0;13754.0;14500.0;14929.0;16753.0;16563.0;18015.0;18817.0;20642.0
01028;Labastida/Bastida;;;;;;17125.0;18495.0;18378.0;20917.0;;;;;;15050.0;16450.0;16450.0;18550.0;;;;;;33372.0;35977.0;35579.0;40762.0;;;;;;13932.0;15189.0;15095.0;17175.0;26641.0;28644.0;27071.0;27931.0;30110.0;28519.0;30522.0;30387.0;34746.0;10935.0;11880.0;11442.0;11685.0;12309.0;11907.0;12886.0;12893.0;14640.0
01030;Lagrán;;;;;;21071.0;22453.0;21834.0;25288.0;;;;;;19250.0;19250.0;20650.0;22050.0;;;;;;34859.0;36503.0;35438.0;41510.0;;;;;;18443.0;20442.0;20398.0;22920.0;28711.0;27882.0;27794.0;26729.0;27184.0;29675.0;30883.0;29662.0;35113.0;15552.0;14949.0;15480.0;15152.0;15606.0;15700.0;17295.0;17073.0;19388.0
01031;Laguardia;;;;;;18837.0;20178.0;20334.0;22797.0;;;;;;17150.0;18550.0;18550.0;20650.0;;;;;;34705.0;37790.0;38847.0;44004.0;;;;;;15620.0;16701.0;17052.0;19097.0;29985.0;29964.0;30543.0;32431.0;32293.0;29314.0;31876.0;32660.0;37085.0;13146.0;13299.0;13470.0;14339.0;14476.0;13194.0;14088.0;14336.0;16094.0
01032;Lanciego/Lantziego;;;;;;15051.0;15723.0;15671.0;17563.0;;;;;;13650.0;14350.0;13650.0;15750.0;;;;;;27243.0;29043.0;28686.0;33275.0;;;;;;11803.0;12278.0;12195.0;13729.0;24579.0;24589.0;25669.0;26064.0;27252.0;24028.0;25541.0;25280.0;29263.0;10349.0;10392.0;10820.0;11307.0;11563.0;10410.0;10797.0;10747.0;12073.0
01033;Lapuebla de Labarca;;;;;;15866.0;16065.0;16668.0;18474.0;;;;;;15750.0;15750.0;15050.0;17150.0;;;;;;29532.0;30130.0;30964.0;34433.0;;;;;;12676.0;12833.0;13041.0;14565.0;26163.0;26168.0;27363.0;28670.0;28894.0;25706.0;26133.0;27198.0;30085.0;10861.0;10967.0;11471.0;11954.0;12178.0;11034.0;11131.0;11455.0;12725.0
01034;Leza;;;;;;21281.0;22600.0;18789.0;21231.0;;;;;;16100.0;18550.0;16450.0;19250.0;;;;;;41274.0;42047.0;34688.0;39424.0;;;;;;17823.0;18774.0;15452.0;17586.0;31208.0;41374.0;30517.0;30609.0;32546.0;34592.0;35206.0;30077.0;34131.0;13773.0;18343.0;14324.0;13706.0;14258.0;14938.0;15720.0;13398.0;15225.0
01036;Laudio/Llodio;;;;;;20689.466666666667;21770.666666666668;22613.733333333334;24535.266666666666;;;;;;19390.0;19950.0;21256.666666666668;23123.333333333332;;;;;;39726.333333333336;41284.73333333333;43009.4;46465.73333333333;;;;;;16944.2;17849.266666666666;18668.333333333332;20210.266666666666;32864.0;32889.0;32820.0;33426.0;35859.0;33618.26666666667;34970.4;36277.2;39372.73333333333;13625.0;13777.0;13768.0;14074.0;15173.0;14342.733333333334;15122.733333333334;15749.133333333333;17127.133333333335
01037;Arraia-Maeztu;;;;;;22358.0;31269.0;24143.0;26293.0;;;;;;20650.0;20650.0;21350.0;22050.0;;;;;;41505.0;58799.0;44837.0;50100.0;;;;;;18937.0;26733.0;20375.0;22287.0;33591.0;31356.0;33158.0;35741.0;;34946.0;47797.0;37820.0;41965.0;15193.0;14052.0;15072.0;16591.0;;15944.0;21732.0;17187.0;18668.0
