Código;Distribución de la renta P80/P20;Índice de Gini;Media de la renta por unidad de consumo;Mediana de la renta por unidad de consumo;Renta bruta media por hogar;Renta bruta media por persona;Renta neta media por hogar;Renta neta media por persona
02025;2.2;26.7;16771.0;15750.0;33391.0;13182.0;28614.0;11296.0
02026;2.4;27.8;15864.0;14350.0;31461.0;11822.0;27868.0;10472.0
02027;2.6;30.3;19694.0;17850.0;36486.0;16104.0;31596.0;13946.0
02028;2.3;29.4;15519.0;12250.0;24689.0;13340.0;21945.0;11857.0
02029;2.2;26.4;19139.0;17850.0;37381.0;15504.0;31469.0;13052.0
02030;2.4;28.2;16567.0;15050.0;30249.0;13205.0;26406.0;11528.0
02031;2.1;29.1;16596.0;14350.0;26933.0;13671.0;23830.0;12097.0
02032;2.2;29.7;17191.0;14350.0;27530.0;14480.0;23958.0;12601.0
02033;2.3;28.3;15987.0;13650.0;29528.0;12553.0;25900.0;11010.0
02034;2.1;29.2;16674.0;14350.0;31858.0;13294.0;27517.0;11482.0
02035;2.2;27.4;18751.0;17150.0;37502.0;14744.0;31837.0;12517.0
02036;;;;;;;;
02037;2.5;29.3;16342.0;14350.0;33351.0;12696.0;28793.0;10960.0
02038;2.8;34.9;18262.0;15050.0;33873.0;15557.0;28455.0;13069.0
02039;2.6;29.8;19053.0;17150.0;36879.0;15167.0;31547.0;12974.0
02040;2.6;28.1;21344.0;19950.0;44155.0;16623.0;37552.0;14137.0
02041;2.3;30.4;15529.0;14350.0;26173.0;13756.0;22529.0;11840.0
02042;2.6;30.6;16547.0;14350.0;27353.0;13493.0;24057.0;11867.0
02043;2.2;28.3;17142.0;15750.0;31145.0;13912.0;27035.0;12076.0
02044;2.4;26.9;16521.0;15750.0;27880.0;13620.0;24654.0;12044.0
02045;2.5;29.9;18534.0;16450.0;37110.0;14653.0;31299.0;12359.0
02046;2.4;28.9;17359.0;15050.0;33082.0;13671.0;28647.0;11838.0
02047;2.4;33.8;24809.0;20650.0;40760.0;22525.0;33976.0;18776.0
02048;2.2;27.0;16018.0;15050.0;28424.0;12612.0;25112.0;11143.0
02049;2.0;28.1;16883.0;14700.0;25570.0;14498.0;22710.0;12877.0
02050;;;;;;;;
02051;2.3;29.8;16749.0;14350.0;32239.0;13096.0;28161.0;11439.0
02052;2.4;27.9;17171.0;16450.0;31031.0;14042.0;27144.0;12283.0
02053;2.1;25.7;15908.0;14350.0;29968.0;12288.0;26484.0;10859.0
02054;2.3;27.6;17130.0;16450.0;31976.0;13045.0;28221.0;11513.0
02055;2.3;28.2;15720.0;14350.0;26836.0;12633.0;23888.0;11245.0
02056;2.3;28.8;15306.0;13650.0;27863.0;12316.0;24410.0;10790.0
02057;2.1;26.0;17262.0;15750.0;30909.0;13881.0;26537.0;11917.0
02058;3.3;33.8;15983.0;13650.0;24158.0;14013.0;21290.0;12349.0
02059;2.5;28.4;18648.0;17150.0;30432.0;16117.0;26615.0;14095.0
02060;2.6;28.4;20217.0;17850.0;32112.0;18726.0;26382.0;15385.0
02061;2.4;29.9;17753.0;15750.0;30245.0;15030.0;26418.0;13128.0
02062;2.1;25.2;15719.0;14350.0;24993.0;13017.0;22537.0;11738.0
02063;2.3;28.1;16355.0;14350.0;29095.0;13223.0;25498.0;11588.0
02064;2.7;32.2;19782.0;16450.0;33966.0;16438.0;29258.0;14160.0
02065;2.5;29.5;19121.0;17150.0;31520.0;16715.0;27009.0;14323.0
02066;2.2;26.2;16982.0;15050.0;28781.0;13544.0;25588.0;12041.0
02067;2.3;28.9;15828.0;14350.0;28957.0;12678.0;25153.0;11013.0
02068;2.1;25.4;18450.0;17150.0;31770.0;15062.0;27714.0;13139.0
02069;2.3;28.8;17721.0;15750.0;36760.0;13991.0;31238.0;11889.0
02070;2.2;27.2;16571.0;15050.0;27255.0;13721.0;24082.0;12124.0
02071;2.4;28.7;19928.0;17850.0;37979.0;16022.0;32442.0;13686.0
02072;2.5;28.8;14319.0;12950.0;24191.0;11393.0;21924.0;10325.0
02073;2.3;28.9;16345.0;14350.0;30660.0;13036.0;26312.0;11188.0
02074;2.4;29.6;15728.0;13650.0;30879.0;12263.0;26787.0;10638.0
02075;2.3;28.9;18454.0;16450.0;35291.0;14654.0;30336.0;12597.0
02076;2.4;28.4;17592.0;14350.0;29956.0;15170.0;25677.0;13003.0
02077;;;;;;;;
02078;2.2;28.2;15880.0;14350.0;29762.0;12488.0;26262.0;11020.0
02079;2.2;26.9;16694.0;15050.0;32935.0;12854.0;28665.0;11188.0
02080;2.8;30.6;18292.0;16450.0;33682.0;14949.0;29126.0;12927.0
02081;2.3;27.2;17726.0;16450.0;37562.0;13815.0;31856.0;11716.0
