ID_MUNICIPIO;FECHA_ELECCION;V_ALCD_2016;V_C's_2016;V_CCD_2016;V_CCD-CI_2016;V_CCa-PNC_2016;V_CCa-PNC-NC_2016;V_CILUS_2016;V_CUP_2016;V_EAJ-PNV_2016;V_EB_2016;V_ECP_2016;V_ENTABAN_2016;V_ERC-CATSÍ_2016;V_FE_2016;V_FE_de_las_J_2016;V_FME_2016;V_IMC_2016;V_INDEPENDIEN_2016;V_IZAR_2016;V_JXC_2016;V_Ln_2016;V_MAS_2016;V_PACMA_2016;V_PCOE_2016;V_PCPE_2016;V_PFyV_2016;V_PH_2016;V_PODEMOS-COM_2016;V_PODEMOS-EN_MAREA-ANOVA-EU_2016;V_PODEMOS-IU-EQUO_2016;V_PP_2016;V_PREPAL_2016;V_PSOE_2016;V_PUEDE_2016;V_PxC_2016;V_RECORTES_CERO-GRUPO_VERDE_2016;V_REPO_2016;V_SAIn_2016;V_SI_2016;V_SOMVAL_2016;V_SUMAR_2016;V_Teruel_Existe_2016;V_UDT_2016;V_UNIDAD_DEL_PUEBLO_2016;V_UPL_2016;V_UPyD_2016;V_VOX_2016
46117;2016-06;0;58;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;11;0;0;0;0;105;0;0;131;0;81;0;0;2;0;0;0;2;0;0;0;0;0;1;0
46118;2016-06;0;293;12;0;0;0;0;1;0;0;0;0;0;0;4;0;0;0;0;0;0;0;26;0;0;0;0;606;0;0;1072;0;871;0;0;1;0;0;0;1;0;0;0;0;0;4;1
46119;2016-06;0;49;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;7;0;3;0;0;204;0;0;193;0;178;0;0;2;1;0;0;2;0;0;0;0;0;1;0
46120;2016-06;0;100;3;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;5;0;1;0;0;246;0;0;315;0;197;0;0;2;0;0;0;2;0;0;0;0;0;1;0
46121;2016-06;0;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;15;0;0;45;0;25;0;0;0;0;0;0;0;0;0;0;0;0;1;0
46122;2016-06;0;212;11;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;25;0;1;0;0;603;0;0;584;0;608;0;0;1;1;0;0;2;0;0;0;0;0;2;3
46123;2016-06;0;190;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;29;0;3;0;0;518;0;0;390;0;243;0;0;0;0;0;0;3;0;0;0;0;0;1;2
46124;2016-06;0;77;6;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;5;0;1;0;0;192;0;0;243;0;108;0;0;1;0;0;0;1;0;0;0;0;0;1;2
46125;2016-06;0;44;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;3;0;0;0;0;205;0;0;224;0;197;0;0;2;0;0;0;2;0;0;0;0;0;0;0
46126;2016-06;0;639;13;0;0;0;0;1;0;0;0;0;0;0;8;0;0;0;0;0;0;0;52;0;2;0;0;1370;0;0;1318;0;932;0;0;8;5;0;0;18;0;0;0;0;0;6;9
