ID_MUNICIPIO;V_BLANCOS_2016;PARTICIPACION_2016
04001;5;77.49529190207156
04002;2;71.99230028873917
04003;64;64.27954139540243
04004;0;77.41176470588236
04005;3;78.59712230215827
04006;30;68.24266590714896
04007;1;71.38964577656675
04008;5;83.76237623762376
04009;2;75.92592592592592
04010;3;77.08333333333334
04011;21;76.6365280289331
04012;0;84.29319371727748
04013;741;67.10425802800962
04014;1;81.25
04015;2;77.41935483870968
04016;9;72.5444340505145
04017;5;66.12654320987654
04018;0;85.92592592592592
04019;1;78.714859437751
04020;0;69.79166666666666
04021;1;81.62162162162161
04022;7;71.75792507204612
04023;2;69.56521739130434
04024;20;76.35003253090436
04026;0;81.81818181818183
04027;0;63.6
04028;1;86.42533936651584
04029;35;65.85393385257929
04030;5;73.19034852546918
04031;2;75.7912745936698
04032;23;65.19871106337271
04033;1;71.85185185185186
04034;2;61.875
04035;28;69.46437111429938
04036;0;77.43362831858407
04037;6;73.74429223744292
04038;16;69.39040207522697
04041;6;74.53416149068323
04043;1;84.54545454545455
04044;5;75.37168713639302
04045;6;74.5019920318725
04046;7;70.97902097902097
04047;11;82.98991670320035
04048;9;72.52162341982701
04049;18;68.1347637869377
04050;3;69.66292134831461
04051;1;82.56880733944955
04052;93;68.20366598778004
04053;70;72.61363636363637
04054;2;79.60893854748603
04055;0;83.55795148247978
04056;0;79.02097902097903
04057;5;67.47169811320755
04058;1;73.72881355932203
04059;4;67.0064874884152
04060;5;78.20224719101122
04061;4;79.3103448275862
04062;18;78.44617092119867
04063;2;70.8029197080292
04064;13;72.2121977625406
04065;7;78.23691460055096
04066;50;64.73622163277336
04067;2;77.36842105263158
04068;0;82.35294117647058
04069;27;74.0401023890785
04070;3;74.74747474747475
04071;3;85.78680203045685
04072;2;78.91373801916933
04073;2;70.9090909090909
04074;23;70.4225352112676
04075;23;71.88221709006929
04076;8;75.05863956215794
04077;2;89.15254237288136
04078;8;70.31539888682747
04079;257;65.73574917774361
04080;3;77.51196172248804
04081;0;80.84507042253522
04082;0;67.34006734006735
04083;6;75.68936409679235
04084;2;73.02052785923753
04085;2;78.55297157622739
04086;9;70.625
04087;0;74.17582417582418
04088;15;67.64466177669112
04089;1;70.21563342318059
04090;0;78.28947368421053
04091;6;80.23952095808383
04092;10;74.94714587737845
04093;11;64.61211477151966
04094;0;69.56521739130434
04095;5;65.96638655462185
04096;0;78.57142857142857
04097;1;76.20967741935483
04098;11;73.54881266490764
04099;27;72.88033674082982
04100;32;61.4735401459854
04101;26;68.19034224097516
04102;50;65.31327588724989
04103;3;68.97018970189703
04901;0;72.47706422018348
04902;214;63.683781939828776
04903;19;66.1574074074074
04904;12;69.21778277996623
11001;11;64.61679669573198
11002;16;66.34682892581326
11003;7;66.2965900079302
11004;513;58.00660036268205
11005;25;65.85206196814313
11006;193;64.40400736045798
11007;197;55.87842351369405
