ID_MUNICIPIO;FECHA_ELECCION;V_ALCD_2016;V_AND_2016;V_BNG-NÓS_2016;V_C's_2016;V_CCD_2016;V_CCD-CI_2016;V_CCa-PNC_2016;V_CDC_2016;V_CENTRO_MODERADO_2016;V_CILUS_2016;V_EAJ-PNV_2016;V_EB_2016;V_EB-AZ_2016;V_ECP_2016;V_EH_Bildu_2016;V_ENTABAN_2016;V_ERC-CATSÍ_2016;V_FE_2016;V_FE_de_las_J_2016;V_FME_2016;V_GBAI_2016;V_HRTS-Ln_2016;V_IMC_2016;V_INDEPENDIEN_2016;V_IZAR_2016;V_JXC_2016;V_Ln_2016;V_MAS_2016;V_P-LIB_2016;V_PACMA_2016;V_PCOE_2016;V_PCPC_2016;V_PCPE_2016;V_PFyV_2016;V_PH_2016;V_PODEMOS-COM_2016;V_PODEMOS-EN_MAREA-ANOVA-EU_2016;V_PODEMOS-EUI_2016;V_PODEMOS-IU-_2016;V_PODEMOS-IU-EQUO_2016;V_PODEMOS-IU-EQUO-BATZARRE_2016;V_PODEMOS-IU-EQUO-CLIAS_2016;V_PODEMOS-IU-EQUO-IZCA_2016;V_PODEMOS-IU-EQUO-SEGOVIEMOS_2016;V_PODEMOS/AHAL_DUGU-IU-EQUO_2016;V_PP_2016;V_PP-FORO_2016;V_PP-PAR_2016;V_PREPAL_2016;V_PSC-PSOE_2016;V_PSE-EE_(PSOE)_2016;V_PSOE_2016;V_PSOE-NCa_2016;V_PSdeG-PSOE_2016;V_PUEDE_2016;V_PxC_2016;V_RECORTES_CERO-GRUPO_VERDE_2016;V_REPO_2016;V_SAIn_2016;V_SI_2016;V_SOMVAL_2016;V_UDT_2016;V_UNIDAD_DEL_PUEBLO_2016;V_UNIDOS_PODEMOS_2016;V_UPL_2016;V_UPN-PP_2016;V_UPyD_2016;V_VOX_2016
25034;2016-06;0;0;0;45;0;0;0;454;0;0;0;0;0;122;0;0;454;0;0;0;0;0;0;0;0;0;0;0;0;9;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;155;0;0;0;82;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;1
25035;2016-06;0;0;0;16;0;0;0;59;0;0;0;0;0;52;0;0;62;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;29;0;0;0;22;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2
25036;2016-06;0;0;0;3;0;0;0;22;0;0;0;0;0;19;0;0;25;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;22;0;0;0;16;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
25037;2016-06;0;0;0;4;0;0;0;71;0;0;0;0;0;24;0;0;89;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;40;0;0;0;12;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0
25038;2016-06;0;0;0;42;0;0;0;326;0;0;0;0;0;95;0;0;204;0;0;0;0;0;0;0;0;0;0;0;0;4;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;232;0;0;0;64;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0
25039;2016-06;0;0;0;2;0;0;0;42;0;0;0;0;0;44;0;0;58;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;11;0;0;0;18;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
25040;2016-06;0;0;0;398;0;0;0;1289;0;0;0;0;0;1083;0;0;1547;0;0;0;0;0;0;0;0;0;0;0;0;48;0;8;0;0;0;0;0;0;0;0;0;0;0;0;0;851;0;0;0;1001;0;0;0;0;0;0;11;0;0;0;0;0;0;0;0;0;0;3
25041;2016-06;0;0;0;14;0;0;0;82;0;0;0;0;0;52;0;0;99;0;0;0;0;0;0;0;0;0;0;0;0;10;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;41;0;0;0;39;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0
25042;2016-06;0;0;0;7;0;0;0;47;0;0;0;0;0;12;0;0;25;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;19;0;0;0;9;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
25043;2016-06;0;0;0;13;0;0;0;108;0;0;0;0;0;103;0;0;196;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;20;0;0;0;40;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;1
